step 17311 | loss: 3.007530 | lr: 0.000143 | norm: 0.2103 | time: 1139.78ms | tok/sec: 459989.93
step 17312 | loss: 3.015738 | lr: 0.000143 | norm: 0.2216 | time: 1135.33ms | tok/sec: 461792.15
step 17313 | loss: 3.037508 | lr: 0.000143 | norm: 0.2189 | time: 1138.26ms | tok/sec: 460606.37
step 17314 | loss: 2.989756 | lr: 0.000143 | norm: 0.1992 | time: 1138.40ms | tok/sec: 460549.36
step 17315 | loss: 3.047916 | lr: 0.000143 | norm: 0.2094 | time: 1140.76ms | tok/sec: 459596.72
step 17316 | loss: 3.024703 | lr: 0.000143 | norm: 0.2089 | time: 1139.62ms | tok/sec: 460054.02
step 17317 | loss: 3.011503 | lr: 0.000143 | norm: 0.2203 | time: 1138.81ms | tok/sec: 460382.94
step 17318 | loss: 3.078141 | lr: 0.000143 | norm: 0.2159 | time: 1137.80ms | tok/sec: 460792.17
step 17319 | loss: 3.042902 | lr: 0.000143 | norm: 0.2032 | time: 1138.37ms | tok/sec: 460560.93
step 17320 | loss: 3.052810 | lr: 0.000143 | norm: 0.2124 | time: 1138.74ms | tok/sec: 460411.38
step 17321 | loss: 3.074896 | lr: 0.000143 | norm: 0.2393 | time: 1140.71ms | tok/sec: 459616.70
step 17322 | loss: 2.987841 | lr: 0.000143 | norm: 0.2130 | time: 1140.29ms | tok/sec: 459784.49
step 17323 | loss: 3.117398 | lr: 0.000143 | norm: 0.2291 | time: 1139.67ms | tok/sec: 460033.52
step 17324 | loss: 3.153671 | lr: 0.000143 | norm: 0.2392 | time: 1139.43ms | tok/sec: 460132.38
step 17325 | loss: 3.083159 | lr: 0.000143 | norm: 0.2121 | time: 1144.23ms | tok/sec: 458200.96
step 17326 | loss: 3.216750 | lr: 0.000143 | norm: 0.2443 | time: 1144.70ms | tok/sec: 458012.57
step 17327 | loss: 3.101080 | lr: 0.000143 | norm: 0.2306 | time: 1144.24ms | tok/sec: 458196.57
step 17328 | loss: 3.105556 | lr: 0.000143 | norm: 0.2418 | time: 1137.91ms | tok/sec: 460748.05
step 17329 | loss: 3.119728 | lr: 0.000143 | norm: 0.2591 | time: 1136.29ms | tok/sec: 461403.12
step 17330 | loss: 3.087341 | lr: 0.000143 | norm: 0.2161 | time: 1140.58ms | tok/sec: 459668.78
step 17331 | loss: 3.140316 | lr: 0.000143 | norm: 0.2520 | time: 1137.96ms | tok/sec: 460727.10
step 17332 | loss: 3.079032 | lr: 0.000143 | norm: 0.2270 | time: 1139.77ms | tok/sec: 459995.32
step 17333 | loss: 3.101944 | lr: 0.000142 | norm: 0.2203 | time: 1139.94ms | tok/sec: 459927.49
step 17334 | loss: 3.103769 | lr: 0.000142 | norm: 0.2210 | time: 1138.16ms | tok/sec: 460644.48
step 17335 | loss: 3.014990 | lr: 0.000142 | norm: 0.2126 | time: 1796.79ms | tok/sec: 291791.34
step 17336 | loss: 3.047049 | lr: 0.000142 | norm: 0.2135 | time: 1140.06ms | tok/sec: 459878.73
step 17337 | loss: 3.060001 | lr: 0.000142 | norm: 0.2204 | time: 1145.09ms | tok/sec: 457858.47
